sentimen,teks
1,"RT @bankmandiri: Mau voucher belanja agar lebih hemat belanja berbagai kebutuhan? Yuk, langsung tukerin #livinpoin Sahabat "
0,@detwooo @xmandiricarer @_Cs_B4NKM4ND1R1 @bankmandiri kntol bgt nih bot
0,@detwooo @_Cs_B4NKM4ND1R1 @bankmandiri anjing pan nyesel gue ngetag mandiri
0,@bankmandiri wakakak penipu bermunculan.. padahal sengaja gua pancing
0,@popopolarity @bankmandiri @BankBCA @BNI Isi reply nya akun bodong semua
0,@bankmandiri setor tunai. jauh banget kudu ke grogot
1,@bankmandiri selamat Bank Mandiri
1,@bankmandiri dmn setor tunai di balikpapan
0,@bankmandiri Saya belum dapat apa-apa
0,"@bankmandiri lama amat kartunya dateng min min, sampe 10hari lebih ga dateng2. Butuh tutor kirim barang kah?"
0,Orang2 harusnya sadar sih woi gunain atm jgn lama2! Ada 10x lebih transaksi kali ni. Mesin atmnya disetting dong 
0,"Notif Livin' nongol. Saya pikir ini spesial, ada promo menarik/potongan belanja gitu. Kalo cuman seperti ini mah"
0,"@bankmandiri Soon ya klo udh jadi nasabah prioritas mandiri ya min, mesti bakl lebih gampang dpt undiannya"
